travel_id,station_id,arrive_time,depart_time,distance
5,1113,2020-05-17 13:43:00.00,2020-05-17 13:45:00.00,223
5,1426,2020-05-17 14:55:00.00,2020-05-17 14:58:00.00,404
5,554,2020-05-17 15:15:00.00,2020-05-17 15:17:00.00,426
5,3,2020-05-17 17:23:00.00,2020-05-17 17:23:00.00,703
6,3,2020-05-17 17:43:00.00,2020-05-17 17:43:00.00,0
6,399,2020-05-17 18:52:00.00,2020-05-17 18:54:00.00,151
6,357,2020-05-17 20:21:00.00,2020-05-17 20:24:00.00,315
6,966,2020-05-17 21:07:00.00,2020-05-17 21:09:00.00,437
6,1382,2020-05-17 21:55:00.00,2020-05-17 21:56:00.00,549
6,62,2020-05-17 23:00:00.00,2020-05-17 23:00:00.00,703
7,3,2020-05-17 13:19:00.00,2020-05-17 13:19:00.00,0
7,554,2020-05-17 15:22:00.00,2020-05-17 15:24:00.00,277
7,1630,2020-05-17 16:16:00.00,2020-05-17 16:17:00.00,315
7,1113,2020-05-17 16:52:00.00,2020-05-17 16:53:00.00,480
7,1382,2020-05-17 17:18:00.00,2020-05-17 17:19:00.00,549
7,1644,2020-05-17 17:39:00.00,2020-05-17 17:40:00.00,604
7,61,2020-05-17 18:21:00.00,2020-05-17 18:26:00.00,703
7,64,2020-05-17 18:38:00.00,2020-05-17 18:38:00.00,718
8,64,2020-05-17 08:33:00.00,2020-05-17 08:33:00.00,0
8,61,2020-05-17 08:45:00.00,2020-05-17 08:52:00.00,15
8,1382,2020-05-17 09:50:00.00,2020-05-17 09:51:00.00,169
8,966,2020-05-17 10:29:00.00,2020-05-17 10:30:00.00,281
8,1630,2020-05-17 10:52:00.00,2020-05-17 10:53:00.00,340
8,554,2020-05-17 11:43:00.00,2020-05-17 11:45:00.00,441
8,3,2020-05-17 13:49:00.00,2020-05-17 13:49:00.00,718
9,3,2020-05-17 12:43:00.00,2020-05-17 12:43:00.00,0
9,399,2020-05-17 13:52:00.00,2020-05-17 13:54:00.00,151
9,554,2020-05-17 14:49:00.00,2020-05-17 14:51:00.00,277
9,966,2020-05-17 16:01:00.00,2020-05-17 16:02:00.00,437
9,1113,2020-05-17 16:19:00.00,2020-05-17 16:20:00.00,480
9,61,2020-05-17 17:38:00.00,2020-05-17 17:42:00.00,703
9,64,2020-05-17 17:54:00.00,2020-05-17 17:54:00.00,718
10,64,2020-05-17 06:42:00.00,2020-05-17 06:42:00.00,0
10,61,2020-05-17 06:54:00.00,2020-05-17 07:02:00.00,15
10,1113,2020-05-17 08:32:00.00,2020-05-17 08:33:00.00,238
10,966,2020-05-17 08:50:00.00,2020-05-17 08:51:00.00,281
10,1630,2020-05-17 09:13:00.00,2020-05-17 09:14:00.00,340
10,357,2020-05-17 09:38:00.00,2020-05-17 09:40:00.00,403
10,554,2020-05-17 10:09:00.00,2020-05-17 10:11:00.00,441
10,3,2020-05-17 12:15:00.00,2020-05-17 12:15:00.00,718
11,3,2020-05-17 18:53:00.00,2020-05-17 18:53:00.00,0
11,399,2020-05-17 20:02:00.00,2020-05-17 20:03:00.00,151
11,1426,2020-05-17 21:12:00.00,2020-05-17 21:15:00.00,299
11,1113,2020-05-17 22:27:00.00,2020-05-17 22:29:00.00,480
11,62,2020-05-17 23:58:00.00,2020-05-17 23:58:00.00,703
12,62,2020-05-17 08:19:00.00,2020-05-17 08:19:00.00,0
12,1644,2020-05-17 08:58:00.00,2020-05-17 08:59:00.00,99
12,1113,2020-05-17 09:40:00.00,2020-05-17 09:42:00.00,223
12,357,2020-05-17 10:36:00.00,2020-05-17 10:46:00.00,388
12,1426,2020-05-17 11:03:00.00,2020-05-17 11:05:00.00,404
12,3,2020-05-17 13:29:00.00,2020-05-17 13:29:00.00,703
13,3,2020-05-17 09:15:00.00,2020-05-17 09:15:00.00,0
13,399,2020-05-17 10:24:00.00,2020-05-17 10:25:00.00,151
13,554,2020-05-17 11:20:00.00,2020-05-17 11:21:00.00,277
13,966,2020-05-17 12:32:00.00,2020-05-17 12:33:00.00,437
13,1382,2020-05-17 13:11:00.00,2020-05-17 13:12:00.00,549
13,297,2020-05-17 13:42:00.00,2020-05-17 13:43:00.00,635
13,61,2020-05-17 14:17:00.00,2020-05-17 14:22:00.00,703
13,64,2020-05-17 14:33:00.00,2020-05-17 14:33:00.00,718
14,64,2020-05-17 14:54:00.00,2020-05-17 14:54:00.00,0
14,61,2020-05-17 15:05:00.00,2020-05-17 15:10:00.00,15
14,1113,2020-05-17 16:30:00.00,2020-05-17 16:31:00.00,238
14,966,2020-05-17 16:48:00.00,2020-05-17 16:49:00.00,281
14,357,2020-05-17 17:30:00.00,2020-05-17 17:33:00.00,403
14,1426,2020-05-17 17:50:00.00,2020-05-17 17:52:00.00,419
14,399,2020-05-17 19:00:00.00,2020-05-17 19:02:00.00,567
14,3,2020-05-17 20:15:00.00,2020-05-17 20:15:00.00,718
15,3,2020-05-17 14:18:00.00,2020-05-17 14:18:00.00,0
15,399,2020-05-17 15:27:00.00,2020-05-17 15:28:00.00,151
15,554,2020-05-17 16:23:00.00,2020-05-17 16:24:00.00,277
15,966,2020-05-17 17:36:00.00,2020-05-17 17:38:00.00,437
15,1382,2020-05-17 18:17:00.00,2020-05-17 18:18:00.00,549
15,62,2020-05-17 19:14:00.00,2020-05-17 19:17:00.00,703
15,179,2020-05-17 20:20:00.00,2020-05-17 20:21:00.00,938
15,21,2020-05-17 20:45:00.00,2020-05-17 20:45:00.00,1013
16,21,2020-05-17 11:13:00.00,2020-05-17 11:13:00.00,0
16,660,2020-05-17 12:04:00.00,2020-05-17 12:12:00.00,181
16,1675,2020-05-17 12:35:00.00,2020-05-17 12:44:00.00,256
16,62,2020-05-17 13:04:00.00,2020-05-17 13:07:00.00,310
16,1630,2020-05-17 14:57:00.00,2020-05-17 14:58:00.00,635
16,3,2020-05-17 17:52:00.00,2020-05-17 17:52:00.00,1013
17,3,2020-05-17 06:39:00.00,2020-05-17 06:39:00.00,0
17,554,2020-05-17 08:40:00.00,2020-05-17 08:42:00.00,277
17,1426,2020-05-17 08:59:00.00,2020-05-17 09:01:00.00,299
17,357,2020-05-17 09:19:00.00,2020-05-17 09:22:00.00,315
17,1630,2020-05-17 09:46:00.00,2020-05-17 09:47:00.00,378
17,966,2020-05-17 10:09:00.00,2020-05-17 10:10:00.00,437
17,1113,2020-05-17 10:27:00.00,2020-05-17 10:29:00.00,480
17,1644,2020-05-17 11:10:00.00,2020-05-17 11:24:00.00,604
17,62,2020-05-17 12:05:00.00,2020-05-17 12:08:00.00,703
17,1675,2020-05-17 12:28:00.00,2020-05-17 12:44:00.00,757
17,1577,2020-05-17 13:20:00.00,2020-05-17 13:22:00.00,883
17,179,2020-05-17 13:38:00.00,2020-05-17 13:40:00.00,938
17,21,2020-05-17 14:05:00.00,2020-05-17 14:08:00.00,1013
17,230,2020-05-17 14:48:00.00,2020-05-17 14:52:00.00,1124
17,2394,2020-05-17 15:18:00.00,2020-05-17 15:20:00.00,1189
17,134,2020-05-17 15:52:00.00,2020-05-17 15:54:00.00,1280
17,2146,2020-05-17 16:17:00.00,2020-05-17 16:19:00.00,1343
17,2793,2020-05-17 16:39:00.00,2020-05-17 16:42:00.00,1393
17,1676,2020-05-17 16:57:00.00,2020-05-17 16:59:00.00,1429
17,2332,2020-05-17 17:22:00.00,2020-05-17 17:22:00.00,1484
18,2332,2020-05-17 12:44:00.00,2020-05-17 12:44:00.00,0
18,1676,2020-05-17 13:07:00.00,2020-05-17 13:08:00.00,55
18,2793,2020-05-17 13:23:00.00,2020-05-17 13:26:00.00,91
18,2146,2020-05-17 13:46:00.00,2020-05-17 13:47:00.00,141
18,134,2020-05-17 14:10:00.00,2020-05-17 14:12:00.00,204
18,2394,2020-05-17 14:44:00.00,2020-05-17 14:46:00.00,295
18,230,2020-05-17 15:12:00.00,2020-05-17 15:15:00.00,360
18,21,2020-05-17 15:56:00.00,2020-05-17 16:00:00.00,471
18,1577,2020-05-17 16:38:00.00,2020-05-17 16:40:00.00,601
18,1137,2020-05-17 17:04:00.00,2020-05-17 17:05:00.00,680
18,62,2020-05-17 17:36:00.00,2020-05-17 17:39:00.00,781
18,1382,2020-05-17 18:35:00.00,2020-05-17 18:36:00.00,935
18,357,2020-05-17 19:52:00.00,2020-05-17 19:55:00.00,1160
18,1426,2020-05-17 20:12:00.00,2020-05-17 20:15:00.00,1185
18,554,2020-05-17 20:30:00.00,2020-05-17 20:32:00.00,1207
18,399,2020-05-17 21:28:00.00,2020-05-17 21:30:00.00,1333
18,3,2020-05-17 22:42:00.00,2020-05-17 22:42:00.00,1484
19,3,2020-05-17 15:33:00.00,2020-05-17 15:33:00.00,0
19,399,2020-05-17 16:42:00.00,2020-05-17 16:44:00.00,151
19,1382,2020-05-17 19:35:00.00,2020-05-17 19:36:00.00,549
19,62,2020-05-17 20:33:00.00,2020-05-17 20:36:00.00,703
19,1577,2020-05-17 21:27:00.00,2020-05-17 21:40:00.00,883
19,23,2020-05-17 22:10:00.00,2020-05-17 22:10:00.00,1001
20,23,2020-05-17 07:46:00.00,2020-05-17 07:46:00.00,0
20,1577,2020-05-17 08:17:00.00,2020-05-17 08:19:00.00,118
20,660,2020-05-17 08:35:00.00,2020-05-17 08:37:00.00,169
20,1675,2020-05-17 09:00:00.00,2020-05-17 09:02:00.00,244
20,62,2020-05-17 09:22:00.00,2020-05-17 09:25:00.00,298
20,2222,2020-05-17 11:32:00.00,2020-05-17 11:33:00.00,677
20,399,2020-05-17 13:01:00.00,2020-05-17 13:03:00.00,850
20,3,2020-05-17 14:14:00.00,2020-05-17 14:14:00.00,1001
21,3,2020-05-17 10:28:00.00,2020-05-17 10:28:00.00,0
21,399,2020-05-17 11:37:00.00,2020-05-17 11:39:00.00,151
21,554,2020-05-17 12:34:00.00,2020-05-17 12:36:00.00,277
21,357,2020-05-17 13:08:00.00,2020-05-17 13:09:00.00,315
21,966,2020-05-17 13:51:00.00,2020-05-17 13:52:00.00,437
21,1113,2020-05-17 14:09:00.00,2020-05-17 14:10:00.00,480
21,1382,2020-05-17 14:35:00.00,2020-05-17 14:36:00.00,549
21,297,2020-05-17 15:05:00.00,2020-05-17 15:16:00.00,635
21,62,2020-05-17 15:49:00.00,2020-05-17 15:52:00.00,703
21,1577,2020-05-17 16:43:00.00,2020-05-17 16:56:00.00,883
21,23,2020-05-17 17:26:00.00,2020-05-17 17:28:00.00,1001
21,844,2020-05-17 18:09:00.00,2020-05-17 18:18:00.00,1143
21,37,2020-05-17 18:46:00.00,2020-05-17 18:54:00.00,1241
21,2179,2020-05-17 19:30:00.00,2020-05-17 19:31:00.00,1315
21,2290,2020-05-17 20:08:00.00,2020-05-17 20:09:00.00,1422
21,2304,2020-05-17 20:25:00.00,2020-05-17 20:26:00.00,1462
21,2795,2020-05-17 20:43:00.00,2020-05-17 20:45:00.00,1504
21,232,2020-05-17 21:19:00.00,2020-05-17 21:19:00.00,1591
22,232,2020-05-17 07:17:00.00,2020-05-17 07:17:00.00,0
22,2795,2020-05-17 07:50:00.00,2020-05-17 07:52:00.00,87
22,2304,2020-05-17 08:09:00.00,2020-05-17 08:11:00.00,129
22,2290,2020-05-17 08:28:00.00,2020-05-17 08:30:00.00,169
22,2179,2020-05-17 09:07:00.00,2020-05-17 09:09:00.00,276
22,37,2020-05-17 09:46:00.00,2020-05-17 09:51:00.00,350
22,714,2020-05-17 10:36:00.00,2020-05-17 10:38:00.00,506
22,179,2020-05-17 11:18:00.00,2020-05-17 11:19:00.00,653
22,1137,2020-05-17 11:56:00.00,2020-05-17 11:57:00.00,787
22,62,2020-05-17 12:28:00.00,2020-05-17 12:31:00.00,888
22,1382,2020-05-17 13:26:00.00,2020-05-17 13:27:00.00,1042
22,1113,2020-05-17 13:52:00.00,2020-05-17 13:59:00.00,1111
22,1426,2020-05-17 15:09:00.00,2020-05-17 15:11:00.00,1292
22,3,2020-05-17 17:28:00.00,2020-05-17 17:28:00.00,1591
23,3,2020-05-17 15:15:00.00,2020-05-17 15:15:00.00,0
23,554,2020-05-17 17:18:00.00,2020-05-17 17:20:00.00,277
23,1426,2020-05-17 17:38:00.00,2020-05-17 17:41:00.00,299
23,357,2020-05-17 17:59:00.00,2020-05-17 18:01:00.00,315
23,966,2020-05-17 18:51:00.00,2020-05-17 18:52:00.00,437
23,62,2020-05-17 20:26:00.00,2020-05-17 20:29:00.00,703
23,37,2020-05-17 22:50:00.00,2020-05-17 22:50:00.00,1241
24,37,2020-05-17 06:56:00.00,2020-05-17 06:56:00.00,0
24,23,2020-05-17 08:02:00.00,2020-05-17 08:04:00.00,240
24,1137,2020-05-17 08:55:00.00,2020-05-17 09:14:00.00,437
24,62,2020-05-17 09:46:00.00,2020-05-17 09:50:00.00,538
24,1644,2020-05-17 10:29:00.00,2020-05-17 10:30:00.00,637
24,966,2020-05-17 11:26:00.00,2020-05-17 11:33:00.00,804
24,554,2020-05-17 12:45:00.00,2020-05-17 12:49:00.00,964
24,3,2020-05-17 14:51:00.00,2020-05-17 14:51:00.00,1241
25,3,2020-05-17 06:34:00.00,2020-05-17 06:34:00.00,0
25,1426,2020-05-17 08:49:00.00,2020-05-17 08:51:00.00,299
25,2222,2020-05-17 09:14:00.00,2020-05-17 09:15:00.00,315
25,966,2020-05-17 09:54:00.00,2020-05-17 09:55:00.00,437
25,1113,2020-05-17 10:12:00.00,2020-05-17 10:14:00.00,480
25,1382,2020-05-17 10:40:00.00,2020-05-17 10:42:00.00,549
25,62,2020-05-17 11:46:00.00,2020-05-17 11:49:00.00,703
25,1577,2020-05-17 12:41:00.00,2020-05-17 12:43:00.00,883
25,23,2020-05-17 13:13:00.00,2020-05-17 13:15:00.00,1001
25,714,2020-05-17 13:41:00.00,2020-05-17 13:57:00.00,1085
25,37,2020-05-17 14:42:00.00,2020-05-17 14:47:00.00,1241
25,35,2020-05-17 14:57:00.00,2020-05-17 14:59:00.00,1248
25,2072,2020-05-17 15:21:00.00,2020-05-17 15:23:00.00,1310
25,521,2020-05-17 15:43:00.00,2020-05-17 15:44:00.00,1375
25,738,2020-05-17 15:53:00.00,2020-05-17 15:55:00.00,1375
25,2585,2020-05-17 16:32:00.00,2020-05-17 16:32:00.00,1527
26,2585,2020-05-17 12:54:00.00,2020-05-17 12:54:00.00,0
26,738,2020-05-17 13:31:00.00,2020-05-17 13:33:00.00,131
26,521,2020-05-17 13:42:00.00,2020-05-17 13:44:00.00,152
26,2072,2020-05-17 14:04:00.00,2020-05-17 14:06:00.00,217
26,35,2020-05-17 14:28:00.00,2020-05-17 14:33:00.00,279
26,37,2020-05-17 14:43:00.00,2020-05-17 14:47:00.00,286
26,844,2020-05-17 15:16:00.00,2020-05-17 15:18:00.00,384
26,23,2020-05-17 15:58:00.00,2020-05-17 16:00:00.00,526
26,1675,2020-05-17 17:02:00.00,2020-05-17 17:04:00.00,770
26,62,2020-05-17 17:24:00.00,2020-05-17 17:27:00.00,824
26,1113,2020-05-17 18:43:00.00,2020-05-17 18:45:00.00,1047
26,357,2020-05-17 19:40:00.00,2020-05-17 19:42:00.00,1212
26,3,2020-05-17 22:12:00.00,2020-05-17 22:12:00.00,1527
27,140,2020-05-17 09:21:00.00,2020-05-17 09:21:00.00,0
27,1734,2020-05-17 09:48:00.00,2020-05-17 09:49:00.00,78
27,1991,2020-05-17 10:24:00.00,2020-05-17 10:26:00.00,206
27,328,2020-05-17 10:55:00.00,2020-05-17 10:56:00.00,295
27,1113,2020-05-17 11:31:00.00,2020-05-17 11:32:00.00,393
27,357,2020-05-17 12:28:00.00,2020-05-17 12:32:00.00,558
27,1426,2020-05-17 12:48:00.00,2020-05-17 12:50:00.00,574
27,3,2020-05-17 15:12:00.00,2020-05-17 15:12:00.00,873
28,3,2020-05-17 14:46:00.00,2020-05-17 14:46:00.00,0
28,554,2020-05-17 16:48:00.00,2020-05-17 16:51:00.00,277
28,1426,2020-05-17 17:09:00.00,2020-05-17 17:13:00.00,299
28,357,2020-05-17 17:34:00.00,2020-05-17 17:37:00.00,315
28,1630,2020-05-17 18:02:00.00,2020-05-17 18:09:00.00,378
28,328,2020-05-17 19:20:00.00,2020-05-17 19:22:00.00,578
28,1991,2020-05-17 19:50:00.00,2020-05-17 19:51:00.00,667
28,610,2020-05-17 20:10:00.00,2020-05-17 20:12:00.00,724
28,140,2020-05-17 20:56:00.00,2020-05-17 20:56:00.00,873
29,3,2020-05-17 14:46:00.00,2020-05-17 14:46:00.00,0
29,554,2020-05-17 16:48:00.00,2020-05-17 16:51:00.00,277
29,1426,2020-05-17 17:09:00.00,2020-05-17 17:13:00.00,299
29,357,2020-05-17 17:34:00.00,2020-05-17 17:37:00.00,315
29,1630,2020-05-17 18:02:00.00,2020-05-17 18:09:00.00,378
29,328,2020-05-17 19:20:00.00,2020-05-17 19:22:00.00,578
29,1991,2020-05-17 19:50:00.00,2020-05-17 19:51:00.00,667
29,610,2020-05-17 20:10:00.00,2020-05-17 20:12:00.00,724
29,140,2020-05-17 20:56:00.00,2020-05-17 20:56:00.00,873
30,140,2020-05-17 09:21:00.00,2020-05-17 09:21:00.00,0
30,1734,2020-05-17 09:48:00.00,2020-05-17 09:49:00.00,78
30,1991,2020-05-17 10:24:00.00,2020-05-17 10:26:00.00,206
30,328,2020-05-17 10:55:00.00,2020-05-17 10:56:00.00,295
30,1113,2020-05-17 11:31:00.00,2020-05-17 11:32:00.00,393
30,357,2020-05-17 12:28:00.00,2020-05-17 12:32:00.00,558
30,1426,2020-05-17 12:48:00.00,2020-05-17 12:50:00.00,574
30,3,2020-05-17 15:12:00.00,2020-05-17 15:12:00.00,873
31,140,2020-05-17 10:36:00.00,2020-05-17 10:36:00.00,0
31,1397,2020-05-17 10:54:00.00,2020-05-17 10:56:00.00,41
31,923,2020-05-17 11:34:00.00,2020-05-17 11:42:00.00,178
31,1991,2020-05-17 11:53:00.00,2020-05-17 12:00:00.00,206
31,328,2020-05-17 12:28:00.00,2020-05-17 12:30:00.00,295
31,966,2020-05-17 13:19:00.00,2020-05-17 13:21:00.00,436
31,357,2020-05-17 14:04:00.00,2020-05-17 14:08:00.00,558
31,1426,2020-05-17 14:28:00.00,2020-05-17 14:36:00.00,574
31,3,2020-05-17 16:52:00.00,2020-05-17 16:52:00.00,873
32,3,2020-05-17 15:51:00.00,2020-05-17 15:51:00.00,0
32,399,2020-05-17 17:00:00.00,2020-05-17 17:01:00.00,151
32,1426,2020-05-17 18:12:00.00,2020-05-17 18:14:00.00,299
32,357,2020-05-17 18:34:00.00,2020-05-17 18:44:00.00,315
32,966,2020-05-17 19:26:00.00,2020-05-17 19:27:00.00,437
32,1113,2020-05-17 19:44:00.00,2020-05-17 19:45:00.00,480
32,328,2020-05-17 20:20:00.00,2020-05-17 20:21:00.00,578
32,610,2020-05-17 21:06:00.00,2020-05-17 21:07:00.00,724
32,1734,2020-05-17 21:27:00.00,2020-05-17 21:41:00.00,795
32,140,2020-05-17 22:09:00.00,2020-05-17 22:09:00.00,873
33,3,2020-05-17 15:51:00.00,2020-05-17 15:51:00.00,0
33,399,2020-05-17 17:00:00.00,2020-05-17 17:01:00.00,151
33,1426,2020-05-17 18:12:00.00,2020-05-17 18:14:00.00,299
33,357,2020-05-17 18:34:00.00,2020-05-17 18:44:00.00,315
33,966,2020-05-17 19:26:00.00,2020-05-17 19:27:00.00,437
33,1113,2020-05-17 19:44:00.00,2020-05-17 19:45:00.00,480
33,328,2020-05-17 20:20:00.00,2020-05-17 20:21:00.00,578
33,610,2020-05-17 21:06:00.00,2020-05-17 21:07:00.00,724
33,1734,2020-05-17 21:27:00.00,2020-05-17 21:41:00.00,795
33,140,2020-05-17 22:09:00.00,2020-05-17 22:09:00.00,873
34,140,2020-05-17 10:36:00.00,2020-05-17 10:36:00.00,0
34,1397,2020-05-17 10:54:00.00,2020-05-17 10:56:00.00,41
34,923,2020-05-17 11:34:00.00,2020-05-17 11:42:00.00,178
34,1991,2020-05-17 11:53:00.00,2020-05-17 12:00:00.00,206
34,328,2020-05-17 12:28:00.00,2020-05-17 12:30:00.00,295
34,966,2020-05-17 13:19:00.00,2020-05-17 13:21:00.00,436
34,357,2020-05-17 14:04:00.00,2020-05-17 14:08:00.00,558
34,1426,2020-05-17 14:28:00.00,2020-05-17 14:36:00.00,574
34,3,2020-05-17 16:52:00.00,2020-05-17 16:52:00.00,873
35,140,2020-05-17 16:50:00.00,2020-05-17 16:50:00.00,0
35,610,2020-05-17 17:33:00.00,2020-05-17 17:52:00.00,149
35,328,2020-05-17 18:36:00.00,2020-05-17 18:43:00.00,295
35,357,2020-05-17 20:13:00.00,2020-05-17 20:17:00.00,558
35,1426,2020-05-17 20:34:00.00,2020-05-17 20:36:00.00,574
35,3,2020-05-17 22:53:00.00,2020-05-17 22:53:00.00,873
36,3,2020-05-17 09:50:00.00,2020-05-17 09:50:00.00,0
36,1109,2020-05-17 10:32:00.00,2020-05-17 10:34:00.00,83
36,1426,2020-05-17 12:10:00.00,2020-05-17 12:12:00.00,299
36,357,2020-05-17 12:30:00.00,2020-05-17 12:33:00.00,315
36,1630,2020-05-17 12:58:00.00,2020-05-17 12:59:00.00,378
36,1113,2020-05-17 13:34:00.00,2020-05-17 13:35:00.00,480
36,328,2020-05-17 14:11:00.00,2020-05-17 14:14:00.00,578
36,1991,2020-05-17 14:43:00.00,2020-05-17 14:45:00.00,667
36,923,2020-05-17 14:56:00.00,2020-05-17 14:58:00.00,695
36,1397,2020-05-17 15:35:00.00,2020-05-17 15:36:00.00,832
36,140,2020-05-17 15:55:00.00,2020-05-17 15:55:00.00,873
37,3,2020-05-17 09:50:00.00,2020-05-17 09:50:00.00,0
37,1109,2020-05-17 10:32:00.00,2020-05-17 10:34:00.00,83
37,1426,2020-05-17 12:10:00.00,2020-05-17 12:12:00.00,299
37,357,2020-05-17 12:30:00.00,2020-05-17 12:33:00.00,315
37,1630,2020-05-17 12:58:00.00,2020-05-17 12:59:00.00,378
37,1113,2020-05-17 13:34:00.00,2020-05-17 13:35:00.00,480
37,328,2020-05-17 14:11:00.00,2020-05-17 14:14:00.00,578
37,1991,2020-05-17 14:43:00.00,2020-05-17 14:45:00.00,667
37,923,2020-05-17 14:56:00.00,2020-05-17 14:58:00.00,695
37,1397,2020-05-17 15:35:00.00,2020-05-17 15:36:00.00,832
37,140,2020-05-17 15:55:00.00,2020-05-17 15:55:00.00,873
38,140,2020-05-17 16:50:00.00,2020-05-17 16:50:00.00,0
38,610,2020-05-17 17:33:00.00,2020-05-17 17:52:00.00,149
38,328,2020-05-17 18:36:00.00,2020-05-17 18:43:00.00,295
38,357,2020-05-17 20:13:00.00,2020-05-17 20:17:00.00,558
38,1426,2020-05-17 20:34:00.00,2020-05-17 20:36:00.00,574
38,3,2020-05-17 22:53:00.00,2020-05-17 22:53:00.00,873
39,140,2020-05-17 14:38:00.00,2020-05-17 14:38:00.00,0
39,1397,2020-05-17 14:57:00.00,2020-05-17 14:59:00.00,41
39,1734,2020-05-17 15:13:00.00,2020-05-17 15:30:00.00,78
39,610,2020-05-17 15:53:00.00,2020-05-17 15:54:00.00,149
39,923,2020-05-17 16:05:00.00,2020-05-17 16:07:00.00,178
39,1991,2020-05-17 16:19:00.00,2020-05-17 16:21:00.00,206
39,328,2020-05-17 16:52:00.00,2020-05-17 16:54:00.00,295
39,1113,2020-05-17 17:29:00.00,2020-05-17 17:31:00.00,393
39,1630,2020-05-17 18:06:00.00,2020-05-17 18:07:00.00,495
39,357,2020-05-17 18:30:00.00,2020-05-17 18:34:00.00,558
39,1426,2020-05-17 18:51:00.00,2020-05-17 18:53:00.00,574
39,554,2020-05-17 19:08:00.00,2020-05-17 19:09:00.00,596
39,3,2020-05-17 21:14:00.00,2020-05-17 21:14:00.00,873
40,3,2020-05-17 06:55:00.00,2020-05-17 06:55:00.00,0
40,399,2020-05-17 08:05:00.00,2020-05-17 08:07:00.00,151
40,1242,2020-05-17 08:33:00.00,2020-05-17 08:35:00.00,208
40,554,2020-05-17 09:07:00.00,2020-05-17 09:09:00.00,277
40,1426,2020-05-17 09:26:00.00,2020-05-17 09:28:00.00,299
40,357,2020-05-17 09:46:00.00,2020-05-17 09:53:00.00,315
40,966,2020-05-17 10:35:00.00,2020-05-17 10:36:00.00,437
40,328,2020-05-17 11:25:00.00,2020-05-17 11:27:00.00,578
40,610,2020-05-17 12:10:00.00,2020-05-17 12:12:00.00,724
40,1734,2020-05-17 12:33:00.00,2020-05-17 12:41:00.00,795
40,140,2020-05-17 13:08:00.00,2020-05-17 13:08:00.00,873
41,3,2020-05-17 06:55:00.00,2020-05-17 06:55:00.00,0
41,399,2020-05-17 08:05:00.00,2020-05-17 08:07:00.00,151
41,1242,2020-05-17 08:33:00.00,2020-05-17 08:35:00.00,208
41,554,2020-05-17 09:07:00.00,2020-05-17 09:09:00.00,277
41,1426,2020-05-17 09:26:00.00,2020-05-17 09:28:00.00,299
41,357,2020-05-17 09:46:00.00,2020-05-17 09:53:00.00,315
41,966,2020-05-17 10:35:00.00,2020-05-17 10:36:00.00,437
41,328,2020-05-17 11:25:00.00,2020-05-17 11:27:00.00,578
41,610,2020-05-17 12:10:00.00,2020-05-17 12:12:00.00,724
41,1734,2020-05-17 12:33:00.00,2020-05-17 12:41:00.00,795
41,140,2020-05-17 13:08:00.00,2020-05-17 13:08:00.00,873
42,140,2020-05-17 14:38:00.00,2020-05-17 14:38:00.00,0
42,1397,2020-05-17 14:57:00.00,2020-05-17 14:59:00.00,41
42,1734,2020-05-17 15:13:00.00,2020-05-17 15:30:00.00,78
